	ID	Nombre	idFabricante	uds	idFarnell	$Farnell	idMouser	$Mouser	PF	PM	Tengo	
Root	Jx	USB MicroB	10118193-0001LF	1	2751675	0,255	649-10118193-0001LF	0,41	0,255	0,41		
FTDI	Ux	FTDI231X	FT231XS-U	1	2081328	1,97	895-FT231XS-U	1,91	1,97	1,91		
root	pt	Fusible	MF-MSMF050-2	1	9350314	0,301	652-MF-MSMF050-2	0,378	0,301	0,378		
FTDI	R	27R	CRCW120627R0FKEAHP	2	2139291	0,101	603-RT1206FRE0727RL	0,171	0,202	0,342		
FTDI	C	47pf	C1206C470J5GACTU	2	1414734	0,144	80-C1206C470J5G	0,24	0,288	0,48		
FTDI	C	100nF	C1206C104M5RACTU	3	2581103	0,0809	80-C1206C104M5R	0,099	0,2427	0,297		
FTDI	C	10nf	C1206C103K1RACTU	1	2409061	0,0756	C1206C103K1RACTU	0,117	0,0756	0,117		
FTDI	CP	4,7uF	EDK475M035A9BAA	1	2068670	0,226	80-EDK475M035A9BAA	0,27	0,226	0,27		
FTDI	R	1K	Varios	4	9337008	0,0169	263-1.0K-RC	0,173	0,0676	0,692	x	
FTDI	Led	Amarillo	156120YS75300	2	2322098	0,219	710-156120YS75300	0,18	0,438	0,36	x	
Arduino	Ux	ATmega328PB-AU	ATmega328PB-AU	1	2523203	1,25	556-ATMEGA328PB-AU	1,21	1,25	1,21		
Arduino	ICSP	IDC 2x3 Vert	75869-131LF	1	2293757	0,533	649-75869-131LF	0,68	0,533	0,68	x	
Arduino	R	10K	CRGCQ1206F10K	1	2861595	0,0277	279-CRGCQ1206F10K	0,09	0,0277	0,09		
Arduino	D	Dreset	CD1206-S01575	1	2211947	0,133	652-CD1206-S01575	0,16	0,133	0,16		
Arduino	sw	SW_Push_Dual	SKHHAJA010	1	2056808	0,201	688-SKHHAJ	0,27	0,201	0,27	x	
Arduino	C	100nF	C1206C104M5RACTU	2	2581103	0,0809	80-C1206C104M5R	0,099	0,1618	0,198		
Arduino	xtal	16Mhz	AWSCR-16.00MTD-T	1	2101362	0,449	815-AWSCR-16.00MTD-T0,30	0,3	0,449	0,3		Revisar
Arduino	R	1M	CRG1206F1M0	1	2307298	0,069	71-CRCW12061M00FKEAC	0,09	0,069	0,09	x	
root	pin8			1	-	0	-	0	0	0	X	
root	Pin6			1	-	0	-	0	0	0	X	
root	Pin10			1	-	0	-	0	0	0	X	
Motor	L298	L298P	L298P013TR	1	2762687	5,96	511-L298P-TR	5,09	5,96	5,09		
Motor	Pin10	DC Jack	KLDX-0202-A	1	2839850	0,736	806-KLDX-0202-A	0,405	0,736	0,405		
Motor	Screw		282836-2	2	3089034	0,314	571-2828362	0,64	0,628	1,28		
Motor	SS14	Didio	SS14L R3	8	1559159	0,32	821-SS14LR3	0,41	2,56	3,28		
Motor	R	10K	CRGCQ1206F10K	6	2861595	0,0277	279-CRGCQ1206F10K	0,09	0,1662	0,54		
Motor	Led	Amarillo	156120YS75300	4	2322098	0,219	710-156120YS75300	0,18	0,876	0,72	x	
Motor	R	1K	Varios	2	9337008	0,0169	263-1.0K-RC	0,173	0,0338	0,346		
Motor	LMV	LMV358MMX	LMV358ID	1	1105913	0,282	595-LMV358IDR	0,387	0,282	0,387		
Motor	R	0R15	RL1206FR-7W0R15L	2	8067597	0,559	603-RL1206FR-7W0R15L	0,45	1,118	0,9		
Motor	C	100nF	C1206C104M5RACTU	3	2581103	0,0809	80-C1206C104M5R	0,099	0,2427	0,297		
Motor	IC	CD4077BM	CD4077BM	1	3006434	0,384	595-CD4077BM	0,441	0,384	0,441		
Motor	C	10uf35V	GMK316B7105KL-T	4	2113068	0,196	963-GMK316B7105KL-T	0,288	0,784	1,152		
root	lL	Led Verde	156120YS75300	1	2322098	0,219	710-156120YS75300	0,18	0,219	0,18	x	
root	R	1K	Varios	1	9337008	0,0169	263-1.0K-RC	0,173	0,0169	0,173	x	
				67					20,897	23,445	2,548	
