Ref,Val,Package,MidX,MidY,Rotation,Layer
BR1,DB107S,DIOB_DB107S,63.250000,-91.750000,270.000000,top
C1,100nf,C_0603_1608Metric,122.025000,-90.250000,0.000000,top
C2,10uf,C_0805_2012Metric,104.600000,-98.800000,0.000000,top
C3,100nf,C_0603_1608Metric,123.525000,-82.500000,180.000000,top
C4,100nf,C_0603_1608Metric,107.200000,-81.600000,270.000000,top
C5,10uf,CP_EIA-3216-18_Kemet-A,70.400000,-77.250000,0.000000,top
C6,10uf,CP_EIA-3216-18_Kemet-A,63.400000,-70.500000,180.000000,top
C7,22pf,C_0603_1608Metric,128.975000,-80.000000,0.000000,top
C8,22pf,C_0603_1608Metric,130.025000,-73.500000,180.000000,top
D1,LED,LED_0805_2012Metric,76.462500,-88.800000,0.000000,top
D2,LED,LED_0805_2012Metric,76.462500,-91.800000,0.000000,top
D5,1N4148,D_SOD-323F,88.400000,-105.400000,270.000000,top
D6,CD1206-S01575,D_1206_3216Metric,82.500000,-83.762500,270.000000,top
Q1,BC560,SOT-23,76.400000,-109.950000,90.000000,top
R1,100,R_1206_3216Metric,72.000000,-106.200000,90.000000,top
R2,3k,R_0805_2012Metric,85.200000,-105.400000,270.000000,top
R3,1K,R_0805_2012Metric,82.000000,-96.600000,90.000000,top
R4,10K,R_0805_2012Metric,106.600000,-102.000000,90.000000,top
R5,10K,R_0805_2012Metric,106.800000,-106.200000,0.000000,top
R6,1M,R_0603_1608Metric,125.500000,-77.175000,90.000000,top
R7,10K,R_0805_2012Metric,79.250000,-83.787500,270.000000,top
R8,10K,R_0805_2012Metric,80.800000,-88.800000,0.000000,top
R9,10K,R_0805_2012Metric,80.770000,-91.800000,0.000000,top
U1,6N137,SMDIP-8_W9.53mm,96.200000,-105.000000,0.000000,top
U2,PC817,SMDIP-4_W9.53mm,76.850000,-100.200000,270.000000,top
U3,ATmega328P-AU,TQFP-32_7x7mm_P0.8mm,115.000000,-82.000000,180.000000,top
U4,AMS1117-5.0,SOT-223-3_TabPin2,70.850000,-70.500000,180.000000,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,129.750000,-76.500000,90.000000,top
